Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
人工 知能 とは	0.00	0			7	779	0.90%	98	687	0.00%
ai モデル	1.00	430			8	559	1.43%	54	430	12.50%
ai を 作る に は	19.00	692			153	1,335	11.46%	86	13142	12.42%
ai 制作	4.00	1782			64	813	7.87%	111	7126	6.25%
ai 開発 ツール	8.00	1580			86	1,255	6.85%	147	12640	9.30%
ai 利用	0.00	0			9	474	1.90%	61	552	0.00%
ai 会話	0.00	0			6	1,840	0.33%	45	270	0.00%
開発 GUI	1.00	204			2	63	3.17%	102	204	50.00%
開発 機械学習	2.00	101			1	11	9.09%	202	202	200.00%
汎用 ai	0.00	0			6	529	1.13%	108	650	0.00%
無料 ai ソフト	6.00	934			42	974	4.31%	133	5606	14.29%
ai 作成	2.50	2945			86	2,511	3.42%	86	7353	2.90%
対話 ai 作り方	0.00	0			19	429	4.43%	183	3482	0.00%
 +ai +デモ	0.00	0			7	255	2.75%	86	599	0.00%
ai の 作成	3.00	1155			29	261	11.11%	119	3464	10.34%
ai フリー	0.00	0			21	1,134	1.85%	109	2287	0.00%
ビッグデータ とは	0.00	0			0	4	0.00%	0	0	0.00%
ディープラーニング クラウド	0.00	0			0	14	0.00%	0	0	0.00%
ai ソリューション	0.00	0			4	381	1.05%	128	513	0.00%
データサイエンティスト 開発	0.00	0			0	1	0.00%	0	0	0.00%
python おすすめ 本	0.00	0			0	33	0.00%	0	0	0.00%
画像認識 人工知能	0.00	0			0	19	0.00%	0	0	0.00%
画像認識 機械学習	0.00	0			1	47	2.13%	95	95	0.00%
python 学ぶ	0.00	0			0	75	0.00%	0	0	0.00%
データサイエンティスト 研修	0.00	0			0	2	0.00%	0	0	0.00%
パイソン プログラム	0.00	0			5	974	0.51%	101	503	0.00%
ai 企業 日本	0.00	0			0	6	0.00%	0	0	0.00%
研修 ディープラーニング	0.00	0			0	1	0.00%	0	0	0.00%
python 言語	0.00	0			2	834	0.24%	118	235	0.00%
人工 知能 は 人間 を 超える か	0.00	0			0	68	0.00%	0	0	0.00%
機械学習 画像認識	0.00	0			0	39	0.00%	0	0	0.00%
人工 知能 活用	0.00	0			0	84	0.00%	0	0	0.00%
ディープラーニング 勉強	0.00	0			0	11	0.00%	0	0	0.00%
ディープラーニング 学習	0.00	0			0	16	0.00%	0	0	0.00%
python できること	0.00	0			4	2,151	0.19%	88	352	0.00%
人工知能 体験	0.00	0			0	10	0.00%	0	0	0.00%
ai 需要予測	0.00	0			0	10	0.00%	0	0	0.00%
watson 事例	0.00	0			0	8	0.00%	0	0	0.00%
モデル 開発	0.00	0			0	13	0.00%	0	0	0.00%
ai の 使い方	0.00	0			14	291	4.81%	74	1031	0.00%
人工知能 教育	0.00	0			0	7	0.00%	0	0	0.00%
事例 機械学習	0.00	0			0	1	0.00%	0	0	0.00%
設計 モデル	0.00	0			0	35	0.00%	0	0	0.00%
音声 認識 製品	0.00	0			0	5	0.00%	0	0	0.00%
ツール ディープラーニング	0.00	0			0	1	0.00%	0	0	0.00%
python ツール	0.00	0			2	83	2.41%	150	300	0.00%
ai 音声認識	0.00	0			1	79	1.27%	295	295	0.00%
データサイエンティスト 事例	0.00	0			0	2	0.00%	0	0	0.00%
ツール python	0.00	0			0	69	0.00%	0	0	0.00%
画像認識 Chainer	0.00	0			0	4	0.00%	0	0	0.00%
GUI 構築	0.00	0			2	22	9.09%	314	628	0.00%
ディープ・ラーニング 事例	0.00	0			1	7	14.29%	103	103	0.00%
プラットホーム モデル	0.00	0			0	1	0.00%	0	0	0.00%
モデル 事例	0.00	0			0	57	0.00%	0	0	0.00%
モデル 導入	0.00	0			0	27	0.00%	0	0	0.00%
モデル 画像認識	0.00	0			0	1	0.00%	0	0	0.00%
導入 モデル	0.00	0			0	15	0.00%	0	0	0.00%
構築 GUI	0.00	0			1	26	3.85%	47	47	0.00%
構築 モデル	0.00	0			0	7	0.00%	0	0	0.00%
画像認識 ディープ・ラーニング	0.00	0			0	124	0.00%	0	0	0.00%
watson 導入	0.00	0			1	3	33.33%	217	217	0.00%
機械学習 物体認識	0.00	0			0	1	0.00%	0	0	0.00%
ニューラルネットワーク 画像認識	0.00	0			0	8	0.00%	0	0	0.00%
モデル 研修	0.00	0			0	8	0.00%	0	0	0.00%
勉強 機械学習	0.00	0			0	1	0.00%	0	0	0.00%
学習 GUI	0.00	0			1	17	5.88%	86	86	0.00%
学習 ai 開発	0.00	0			0	2	0.00%	0	0	0.00%
学習 ディープ・ラーニング	0.00	0			0	3	0.00%	0	0	0.00%
データサイエンスとは	0.00	0			2	605	0.33%	50	100	0.00%
aiの活用事例	0.00	0			0	7	0.00%	0	0	0.00%
AI画像認識	0.00	0			4	244	1.64%	50	199	0.00%
文字認識 ai	0.00	0			3	272	1.10%	50	149	0.00%
mac ai 開発	0.00	0			1	62	1.61%	144	144	0.00%
