Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
みまもり ケータイ gps au	1.00	1119			7	163	4.29%	160	1119	14.29%
みまもり bot	16.15	242			41	585	7.01%	95	3914	39.38%
見守り bot	10.02	772			54	831	6.50%	143	7729	18.55%
gps キッズ ケータイ	0.33	6819			21	312	6.73%	108	2273	1.59%
一人暮らし 見守り アプリ	5.00	166			7	112	6.25%	119	831	71.43%
子ども 防犯 gps	63.66	738			471	5,456	8.63%	100	46962	13.52%
携帯 見守り アプリ	19.97	542			85	1,336	6.36%	127	10814	23.49%
mixi みまもり	2.00	303			4	49	8.16%	152	606	50.00%
ソフトバンク gps みまもり	1.00	339			4	82	4.88%	85	339	25.00%
ドリーム エリア み もり	1.00	400			2	13	15.38%	200	400	50.00%
gps 見守り 端末	25.51	548			105	1,533	6.85%	133	13984	24.29%
防犯 ブザー gps ドコモ	9.47	548			45	396	11.36%	115	5191	21.05%
みて ね みまもり	3.00	464			10	334	2.99%	139	1393	30.00%
ソースネクスト 見守り	2.01	312			4	36	11.11%	157	626	50.22%
soranome gps	6.58	632			23	241	9.54%	181	4159	28.61%
み もり サービス	5.50	197			12	211	5.69%	90	1081	45.83%
み もり 見守り	9.00	555			48	787	6.10%	104	4995	18.75%
みまもり gps おすすめ	1.67	2704			35	288	12.15%	129	4518	4.77%
アンドロイド 見守り	11.50	388			36	601	5.99%	124	4467	31.94%
キッズ 携帯 gps 料金	16.00	150			26	492	5.28%	92	2401	61.54%
キッズ 携帯 と gps	2.00	604			13	229	5.68%	93	1208	15.38%
ミテネ 見守り gps	1.00	192			1	40	2.50%	192	192	100.00%
小学校 1 年生 gps	4.00	723			20	225	8.89%	145	2893	20.00%
見守り gps au	17.00	590			69	1,630	4.23%	145	10037	24.64%
見守り gps 小型	20.50	917			146	1,588	9.19%	129	18797	14.04%
安心 見守り アプリ	5.00	436			16	770	2.08%	136	2180	31.24%
au みまもり ケータイ gps	0.00	0			7	78	8.97%	95	663	0.00%
gps マモリーノ	0.00	0			3	49	6.12%	86	257	0.00%
au キッズ ケータイ gps	0.00	0			8	72	11.11%	73	582	0.00%
ソフトバンク キッズ 携帯 位置 情報	0.00	0			0	14	0.00%	0	0	0.00%
キッズスマホ gps	0.00	0			2	58	3.45%	116	231	0.00%
ファミリー ドット gps	0.00	0			6	113	5.31%	239	1431	0.00%
見守り スマホ アプリ	0.00	0			21	326	6.44%	92	1939	0.00%
gps み もり 口コミ	0.00	0			2	19	10.53%	354	707	0.00%
bocco emo アプリ	0.00	0			0	9	0.00%	0	0	0.00%
gps ソラノメ	0.00	0			2	35	5.71%	60	120	0.00%
み もり イオン	0.00	0			2	19	10.53%	156	312	0.00%
み もり ビックカメラ	0.00	0			0	3	0.00%	0	0	0.00%
み もり 新 モデル	0.00	0			0	9	0.00%	0	0	0.00%
み もり 月額	0.00	0			2	16	12.50%	197	394	0.00%
マチコミ み もり	0.00	0			0	37	0.00%	0	0	0.00%
ミマモルメ gps 端末	0.00	0			10	210	4.76%	151	1507	0.00%
み もり 楽天	0.00	0			0	1	0.00%	0	0	0.00%
みて ね みまもり gps bot 比較	0.00	0			0	0	 --	0	0	0.00%
セコム キッズ gps	0.00	0			0	0	 --	0	0	0.00%
キッズ ケータイ gps 検索	0.00	0			0	0	 --	0	0	0.00%
line モバイル キッズ gps	0.00	0			0	0	 --	0	0	0.00%
au マモリーノ gps 使い方	0.00	0			0	0	 --	0	0	0.00%
softbank キッズ 携帯 位置 情報	0.00	0			0	0	 --	0	0	0.00%
子ども の 安全 キッズ ケータイ gps	0.00	0			0	0	 --	0	0	0.00%
amu link	549.45	272			1,267	3,762	33.68%	118	149491	43.37%
アミュ リンク	665.92	260			1,532	4,744	32.29%	113	173276	43.47%
amue link	963.95	193			2,508	7,879	31.83%	74	186444	38.43%
アミューリンク	1,862.27	187			4,437	12,799	34.67%	79	348798	41.97%
アミュリンク	272.27	274			659	2,068	31.87%	113	74546	41.32%
